,01.10.2018,02.10.2018,03.10.2018,04.10.2018,05.10.2018,06.10.2018,07.10.2018,08.10.2018,09.10.2018,10.10.2018,11.10.2018,12.10.2018,13.10.2018,14.10.2018,15.10.2018,16.10.2018,17.10.2018,18.10.2018,19.10.2018,20.10.2018,21.10.2018,22.10.2018,23.10.2018,24.10.2018,25.10.2018,26.10.2018,27.10.2018,28.10.2018,29.10.2018,30.10.2018,31.10.2018,01.11.2018,02.11.2018,03.11.2018,04.11.2018,05.11.2018,06.11.2018,07.11.2018,08.11.2018,09.11.2018,10.11.2018,11.11.2018,12.11.2018,13.11.2018,14.11.2018,15.11.2018,16.11.2018,17.11.2018,18.11.2018,19.11.2018,20.11.2018,21.11.2018,22.11.2018,23.11.2018,24.11.2018,25.11.2018,26.11.2018,27.11.2018,28.11.2018,29.11.2018,30.11.2018,01.12.2018,02.12.2018,03.12.2018,04.12.2018,05.12.2018,06.12.2018,07.12.2018,08.12.2018,09.12.2018,10.12.2018,11.12.2018,12.12.2018,13.12.2018,14.12.2018
АИС Минсоц::Консультации по формированию выплат,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
РГМУ::Регистрация пользователя,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Оперативный мониторинг::4. Запросы на устранения дефектов и сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Портал НПА::Устранение сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ТОР КНД,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Госуслуги74::Консультация,0,0,0,0,1,1,1,1,3,2,2,2,1,1,1,1,1,3,1,1,1,2,2,0,0,0,0,0,2,2,3,3,4,4,4,4,5,5,4,5,4,4,5,5,5,4,4,4,4,5,5,4,5,5,1,1,1,2,3,3,3,3,3,6,6,6,4,4,4,4,4,4,4,4,4
Оперативный мониторинг::Корректировка учётных данных,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
СИР::Консультация,1,1,1,1,1,1,1,3,10,4,3,2,1,1,1,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Прочее,2,1,3,1,2,1,1,2,2,4,0,3,1,1,3,2,4,0,0,1,1,4,1,1,1,0,0,0,0,2,1,3,4,2,2,2,4,5,2,1,1,1,2,2,5,3,2,1,1,2,3,4,5,3,1,1,3,4,4,2,7,1,1,11,7,5,6,5,4,4,6,5,7,7,5
СЭД ЧО::Настройка рабочего места,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"СУС::Наполнение контентом сайта ОГБУ ""ЧРЦНИТ""",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
СУС::Доработка программного кода СУС,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ИАС ЖИЛФОНД::Консультация,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС ЮУ::Изменение сведений пользователя,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
АС ЮУ::Консультация,0,1,1,3,5,4,4,6,10,9,5,8,7,7,7,6,5,5,5,2,2,4,8,9,8,8,8,8,11,7,7,3,6,4,4,4,7,10,9,9,8,8,10,6,5,8,4,2,2,6,7,3,5,8,6,6,10,16,19,16,12,9,9,16,10,12,6,6,5,5,8,8,6,9,8
Lotus - Почтовый сервер::Устранение сбоев,0,3,2,2,4,3,3,4,4,9,6,5,5,5,5,5,5,6,8,4,4,6,4,1,2,2,1,1,1,1,1,2,1,1,1,1,3,2,3,5,3,3,4,3,3,3,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,6,1,3,4,2,2,4,4,4,2,2
Система хранения данных,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ИАС ЖИЛФОНД::2. Запросы на администрирование,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0
АИС МФЦ::Клиентское сопровождение,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС Кадры::Устранение ошибок при некорректной работе,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ЭПК::3. Запросы на улучшение и оптимизацию,1,1,1,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,2,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,2,1,1,1,0,0,1,1,1,1,1,0,0,2,1,1,1,1
IP Телефония::Создание нового абонента,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"СУС::Добавление новых элементов, модулей, счетчиков в структуру сайта",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Автограф МЭ, ГУЛ, МСХ::Регистрация/удаления  транспортных средств",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
СЭД ЧО::Подготовка отчетов,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VMware vSphere::Создание VM (виртуальной машины),0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,3,2,2,2,2,2,3,3,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Оперативный мониторинг::Восстановление учётных данных,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2,3,3,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"Автограф МЭ, ГУЛ, МСХ::Синхронизация данных с БД РНИС (проверка)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС Кадры::Устранение сбоев,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
СУС::Актуализация контента,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0
Active Directory::Создание групповых политик,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Оперативный мониторинг::Настройка системы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
Alfa BI::Регистрация пользователя,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Сеть VipNet 604::Обеспечение межсетевого взаимодействия,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
Сеть VipNet 604,0,2,0,1,2,2,2,3,1,1,0,0,0,0,0,0,1,1,2,1,1,2,1,1,1,1,0,0,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
АИС Минсоц::Добавление шаблонов печатных форм,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АИС Минсоц,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС Кадры,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,1,2,1,2,1,1,2,3,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,3,5,3,3,3,3,3,3,5,4,5,4,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
ИАС ЖИЛФОНД::4. Запросы на устранения дефектов и сбоев,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotus - Почтовый сервер::Создание и изменение рассылок,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,0,0,1,1,1,0,1,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ИАС ЖИЛФОНД::Устранение сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ЭПК::2. Запросы на администрирование,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
ЭПК::1. Запросы на консультирование,3,3,3,3,1,0,0,4,0,1,3,3,0,0,2,3,3,6,2,0,0,1,3,4,2,2,0,0,3,1,4,2,3,0,0,0,1,3,5,1,0,0,2,1,5,3,3,0,0,3,0,3,1,3,0,0,4,2,3,1,2,0,0,1,3,6,3,3,0,0,3,2,3,2,1
АС МИО::Устранение сбоев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
АС Кадры::Регистрация пользователя,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTRS::Регистрация пользователя,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Оперативный мониторинг::Устранение сбоев,3,3,3,2,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
ТОР КНД::Консультация,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
РГМУ::Назначение привилегий,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АС ЮУ::Регистрация подразделения,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP Телефония,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Оперативный мониторинг::Изменение прав пользователя,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2
ГАСУ Челябинской области,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Консультант,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
АИС Минсоц::Консультации по работе и изменениям в Системе,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lotus - Почтовый сервер::Восстановление пароля,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
АС ЮУ::Регистрация пользователя,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,1,1,0,0,1,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,1,0,0,1,0,3,1,0,0,0,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Оперативный мониторинг::Консультация,1,3,2,1,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,2,2,2
СЭД ЧО::Консультация,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,3,4,3,5,4
Lotus - Почтовый сервер::Разблокировка учетной записи,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Госуслуги74::Устранение сбоев,0,0,0,0,0,0,0,0,4,3,3,1,1,1,1,2,2,2,3,2,2,3,4,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,2,2,5,4,3,4,4,4,4,4,4,4,5,5,3,3,3,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,2,2
АС МИО::Управление правами доступа,0,1,6,8,9,9,9,11,11,11,11,11,11,11,11,11,12,12,13,13,13,14,14,15,16,16,16,16,17,19,20,21,22,22,22,22,23,23,24,24,24,24,29,41,36,35,36,36,36,37,43,47,50,54,54,54,63,65,67,70,72,71,71,76,77,78,80,79,78,78,80,85,87,88,93
АС Кадры::Корректировка справочников,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0
АС Кадры::Устранение прочих системных ошибок,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2
ИАС ЖИЛФОНД::Изменение учетной записи пользователя или организации,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
